xid,Project Name,Builder Name,Project Address,Property Type,Amenities,Amentity_count,rera_no,Project Area,Project Size-Tower Count,Project Size-Unit Count,Configs,Unit range
r112495,Fakhri Harmony Residency,Haappyhome Construction Builders,"Besa, Nagpur",Residential - Apartments,"Fire Fighting Systems,24/7 Water Supply,Lift(s),Car Parking",4,P50500017848,0.61 acres,2,24,2BHK,40.0~95.69 Sq. mt
r12874,HUB6,DivyaSree,"OMR (Old Mahabalipuram Road), Thiruporur","Residential - Plots, Villas and Senior Living","Gated Community,Landscape Garden,Club House",3,"TN/35/Layout/4374/2024 dated 30.12.2025 | Sector B - TN/35/Layout/0006/2025 dated 02.01.2025  
Sector D - TN/35/Layout/4375/2024 dated 30.12.2024 | Sector J - TN/35/Layout/0138/2025 dated 07.01.2025 | Sector G - TN/35/Layout/0217/2025 dated 11.01.2025",? 9 Acres,Not found,Not found,"Plots, Villas, Senior Living Villas",862 sq. ft.~3236 sq. ft.
r151555,Meena Orchid,GM Group,"BA - 17 Salt Lake City, Sector-1, Kolkata-700064",Residential - Apartments,"Gymnasium,Community Hall,Intercom,24x7 Security,Power Back up,Water Treatment Plant,Children's Play Area,Lift(s)",8,Not found,Not found,Not found,Not found,"2BHK,3BHK",434~1199 sqft
r158059,HM SCOTTSVILLE,HM GROUP,"Sarjapur Road, Bangalore, East Bengaluru, India",Residential - Apartments,"Gated Community,Landscape Garden,Park,Club House,Children's Play Area,Swimming Pool,Jogging Track,Indoor Games,Co-Working Spaces,Yoga/Meditation Area,Community Hall,Car Parking,24/7 Security,Badminton Court",16,PRM / KA / RERA / 1251 / 446 / PR / 181224 / 007307,Not found,Not found,154,"2 BHK,2.5 BHK,3 BHK",802.10~1835.75 sq.ft
r1718,JURS COUNTRY,THE VARDHMAN DEVELOPERS,7th Km Haridwar Delhi Road Jwalapur Haridwar,"Residential Township - Apartments, Villas, Plots, Luxury Condominiums, Duplex Apts.","Gated Community,Earthquake Resistant,Vastu Compliant,Rain Water Harvesting,Swimming Pool,Club House,Car Parking,24/7 Power Backup",8,UK REP09170000025,35 acres,Not found,Not found,"Apartments,Villas,Plots,Luxury Condominiums,Duplex Apts.,2BHK,3BHK,5BHK",880~2296 sq. ft
r1720,Shantiniketan,Swapnabhumi Realtors Limited,????????? - ???????,Residential - Single-family homes,"Gated Community,Temple,Children's Play Area,Landscape Garden,24x7 Security",5,Not found,Not found,Not found,Not found,"1 KATA Bungalow,1.5 KATA Bungalow,2 KATA Bungalow,3 KATA Bungalow",581.26~2777 sqft
r1772,SANDESH CITY,R SANDESH GROUP,"Sandesh City, Near MIHAN , beside VCA Stadium, Jamtha, Wardha Road, Nagpur.",Residential - Townhouses,"Gymnasium,Children's Play Area,Jogging Track,Rain Water Harvesting,Landscape Garden,Park",6,P50500032569,Not found,Not found,Not found,3BHK,1007~1450 sq.ft
r197407,GP COMPLEX,Sumatinath Enterprises,"Gopikisan Patil Complex Bldg.No. 1, Opp. Karamveer Bhaurao Patil School & Collage, On Naigaon Station Road, Near Juchandra Village, Naigaon (E), Tal. Vasai, Dist. Palghar -401 208.",Residential - Apartments,"Children's Play Area,Lift(s),Rain Water Harvesting",3,P99000032105,Not found,Not found,Not found,"1BHK,2BHK",None
r210069,Lavanya Homes,Arch N Decor Projects (P) LTD,"Ajmer Road, Jaipur",Residential - Apartments,"Gated Community,Landscape Garden,Children's Play Area,Club House,Swimming Pool,Gymnasium,Library,Badminton Court,Private Gardens/Balconies",9,Not found,14.65 Acre,Not found,994,3 BHK,1225~1710 sqft
r222615,Ansal City,Ansal Buildwell,"GT Road, Jandiala Guru, Amritsar, Punjab",Residential - Townships,"Gated Community,School,Community Hall,Football Ground,Children's Play Area,Sewage Treatment Plant,Jogging Track,Park,24x7 Security",9,PBRERA-ASR02-PRO239,Approx. 64 Acre,Not found,Not found,None,200~500 sq. yards
