XID,Project Name,Configuration,List Item,Price
347957,VIVA CITY,"2 BHK Apartment
1.27 Cr - 1.36 Cr",1367 SQ.FT,₹ 1.27 Cr
347957,VIVA CITY,"2 BHK Apartment
1.27 Cr - 1.36 Cr",1390 SQ.FT,₹ 1.3 Cr
347957,VIVA CITY,"2 BHK Apartment
1.27 Cr - 1.36 Cr",1433 SQ.FT,₹ 1.34 Cr
347957,VIVA CITY,"2 BHK Apartment
1.27 Cr - 1.36 Cr",1457 SQ.FT,₹ 1.36 Cr
347957,VIVA CITY,3 BHK Apartment,1921 SQ.FT,₹ 1.79 Cr
347957,VIVA CITY,3 BHK Apartment,1931 SQ.FT,₹ 1.8 Cr
347957,VIVA CITY,3 BHK Apartment,1933 SQ.FT,₹ 1.8 Cr
347957,VIVA CITY,3 BHK Apartment,1956 SQ.FT,₹ 1.82 Cr
347957,VIVA CITY,3 BHK Apartment,2097 SQ.FT,₹ 1.96 Cr
347957,VIVA CITY,3 BHK Apartment,2105 SQ.FT,₹ 1.96 Cr
347957,VIVA CITY,3 BHK Apartment,2534 SQ.FT,Price on Request
347957,VIVA CITY,3 BHK Apartment,2548 SQ.FT,₹ 2.38 Cr
347957,VIVA CITY,3 BHK Apartment,2566 SQ.FT,₹ 2.39 Cr
347957,VIVA CITY,3 BHK Apartment,2567 SQ.FT,₹ 2.39 Cr
347957,VIVA CITY,3 BHK Apartment,2595 SQ.FT,₹ 2.42 Cr
410757,Sairaj Balaji Vishant,"1 BHK Apartment
53.6 L",422 SQ.FT,₹ 53.6 L
410757,Sairaj Balaji Vishant,"2 BHK Apartment
79.29 L",611 SQ.FT,₹ 79.29 L
418863,Pyramid Centria,"2 BHK Apartment
1.79 Cr",714 SQ.FT,₹ 1.79 Cr
418863,Pyramid Centria,"3 BHK Apartment
2.66 Cr",1062 SQ.FT,₹ 2.66 Cr
423193,Luxora Crystal Antara,"1 BHK Apartment
1.15 Cr - 1.22 Cr",488.68 SQ.FT,₹ 1.15 Cr
423193,Luxora Crystal Antara,"1 BHK Apartment
1.15 Cr - 1.22 Cr",513.77 SQ.FT,₹ 1.21 Cr
423193,Luxora Crystal Antara,"1 BHK Apartment
1.15 Cr - 1.22 Cr",517.64 SQ.FT,₹ 1.22 Cr
423193,Luxora Crystal Antara,2 BHK Apartment,631.09 SQ.FT,₹ 1.49 Cr
423193,Luxora Crystal Antara,2 BHK Apartment,705 SQ.FT,₹ 1.66 Cr
423193,Luxora Crystal Antara,2 BHK Apartment,712.9 SQ.FT,₹ 1.68 Cr
423193,Luxora Crystal Antara,2 BHK Apartment,713.76 SQ.FT,₹ 1.68 Cr
423193,Luxora Crystal Antara,2 BHK Apartment,733.13 SQ.FT,₹ 1.73 Cr
423193,Luxora Crystal Antara,2 BHK Apartment,775 SQ.FT,Price on Request
423193,Luxora Crystal Antara,2 BHK Apartment,791 SQ.FT,Price on Request
423193,Luxora Crystal Antara,3 BHK Apartment,888.13 SQ.FT,₹ 2.1 Cr
423193,Luxora Crystal Antara,3 BHK Apartment,894.81 SQ.FT,₹ 2.11 Cr
423193,Luxora Crystal Antara,3 BHK Apartment,896 SQ.FT,₹ 2.11 Cr
423193,Luxora Crystal Antara,3 BHK Apartment,906.54 SQ.FT,₹ 2.14 Cr
423193,Luxora Crystal Antara,3 BHK Apartment,909 SQ.FT,₹ 2.14 Cr
423193,Luxora Crystal Antara,3 BHK Apartment,911.17 SQ.FT,₹ 2.15 Cr
423193,Luxora Crystal Antara,3 BHK Apartment,1108.69 SQ.FT,₹ 2.62 Cr
423193,Luxora Crystal Antara,3 BHK Apartment,1117.63 SQ.FT,₹ 2.64 Cr
423193,Luxora Crystal Antara,3 BHK Apartment,1152 SQ.FT,Price on Request
423193,Luxora Crystal Antara,3 BHK Apartment,1169 SQ.FT,Price on Request
423193,Luxora Crystal Antara,3 BHK Apartment,1170 SQ.FT,Price on Request
423193,Luxora Crystal Antara,3 BHK Apartment,1324 SQ.FT,Price on Request
423193,Luxora Crystal Antara,3 BHK Apartment,1337 SQ.FT,Price on Request
423193,Luxora Crystal Antara,3 BHK Apartment,1345 SQ.FT,Price on Request
423193,Luxora Crystal Antara,3 BHK Apartment,1495.86 SQ.FT,₹ 3.53 Cr
423193,Luxora Crystal Antara,4 BHK Apartment,1492.85 SQ.FT,₹ 3.52 Cr
423193,Luxora Crystal Antara,4 BHK Apartment,1862 SQ.FT,Price on Request
62235,Mahindra Luminare,"3 BHK Apartment
6.78 Cr - 7.21 Cr",1534.61 SQ.FT,₹ 6.78 Cr
62235,Mahindra Luminare,"3 BHK Apartment
6.78 Cr - 7.21 Cr",1624.01 SQ.FT,₹ 7.18 Cr
62235,Mahindra Luminare,"3 BHK Apartment
6.78 Cr - 7.21 Cr",1632 SQ.FT,₹ 7.21 Cr
62235,Mahindra Luminare,"4 BHK Duplex
5.93 Cr - 12.11 Cr",1341.74 SQ.FT,₹ 5.93 Cr
62235,Mahindra Luminare,"4 BHK Duplex
5.93 Cr - 12.11 Cr",1398.2 SQ.FT,₹ 6.18 Cr
62235,Mahindra Luminare,"4 BHK Duplex
5.93 Cr - 12.11 Cr",2689.26 SQ.FT,₹ 11.88 Cr
62235,Mahindra Luminare,"4 BHK Duplex
5.93 Cr - 12.11 Cr",2739 SQ.FT,₹ 12.1 Cr
62235,Mahindra Luminare,"4 BHK Duplex
5.93 Cr - 12.11 Cr",2739.94 SQ.FT,₹ 12.11 Cr
62235,Mahindra Luminare,"4 BHK Apartment
8.88 Cr",2009.05 SQ.FT,₹ 8.88 Cr
62235,Mahindra Luminare,"5 BHK Duplex
14.95 Cr",3384.52 SQ.FT,₹ 14.95 Cr
418615,Ashwin Edmont Aurelia,"2 BHK Apartment
2.74 Cr - 2.83 Cr",752.5 SQ.FT,₹ 2.74 Cr
418615,Ashwin Edmont Aurelia,"2 BHK Apartment
2.74 Cr - 2.83 Cr",761 SQ.FT,₹ 2.77 Cr
418615,Ashwin Edmont Aurelia,"2 BHK Apartment
2.74 Cr - 2.83 Cr",766 SQ.FT,₹ 2.79 Cr
418615,Ashwin Edmont Aurelia,"2 BHK Apartment
2.74 Cr - 2.83 Cr",769 SQ.FT,₹ 2.8 Cr
418615,Ashwin Edmont Aurelia,"2 BHK Apartment
2.74 Cr - 2.83 Cr",776 SQ.FT,₹ 2.83 Cr
418615,Ashwin Edmont Aurelia,"3 BHK Apartment
3.02 Cr - 4.58 Cr",827.64 SQ.FT,₹ 3.02 Cr
418615,Ashwin Edmont Aurelia,"3 BHK Apartment
3.02 Cr - 4.58 Cr",1007 SQ.FT,₹ 3.67 Cr
418615,Ashwin Edmont Aurelia,"3 BHK Apartment
3.02 Cr - 4.58 Cr",1009 SQ.FT,₹ 3.68 Cr
418615,Ashwin Edmont Aurelia,"3 BHK Apartment
3.02 Cr - 4.58 Cr",1169.82 SQ.FT,₹ 4.27 Cr
418615,Ashwin Edmont Aurelia,"3 BHK Apartment
3.02 Cr - 4.58 Cr",1218 SQ.FT,₹ 4.44 Cr
418615,Ashwin Edmont Aurelia,"3 BHK Apartment
3.02 Cr - 4.58 Cr",1255 SQ.FT,₹ 4.58 Cr
420301,TARC Kailasaa,3 BHK Apartment,1851.39 SQ.FT,₹ 6.8 Cr
420301,TARC Kailasaa,3 BHK Apartment,1894 SQ.FT,Price on Request
420301,TARC Kailasaa,3 BHK Apartment,1937.5 SQ.FT,₹ 7.12 Cr
420301,TARC Kailasaa,"4 BHK Apartment
8.26 Cr",2249.66 SQ.FT,₹ 8.26 Cr
423416,Sree Urban Orchids Phase II,"2 BHK Apartment
62.7 L - 65.42 L",760 SQ.FT,₹ 62.7 L
423416,Sree Urban Orchids Phase II,"2 BHK Apartment
62.7 L - 65.42 L",769.4 SQ.FT,₹ 63.48 L
423416,Sree Urban Orchids Phase II,"2 BHK Apartment
62.7 L - 65.42 L",779.2 SQ.FT,₹ 64.28 L
423416,Sree Urban Orchids Phase II,"2 BHK Apartment
62.7 L - 65.42 L",783 SQ.FT,₹ 64.6 L
423416,Sree Urban Orchids Phase II,"2 BHK Apartment
62.7 L - 65.42 L",791 SQ.FT,₹ 65.26 L
423416,Sree Urban Orchids Phase II,"2 BHK Apartment
62.7 L - 65.42 L",793 SQ.FT,₹ 65.42 L
423416,Sree Urban Orchids Phase II,"3 BHK Apartment
75.9 L - 98.01 L",920 SQ.FT,₹ 75.9 L
423416,Sree Urban Orchids Phase II,"3 BHK Apartment
75.9 L - 98.01 L",942 SQ.FT,₹ 77.72 L
423416,Sree Urban Orchids Phase II,"3 BHK Apartment
75.9 L - 98.01 L",1053.36 SQ.FT,₹ 86.9 L
423416,Sree Urban Orchids Phase II,"3 BHK Apartment
75.9 L - 98.01 L",1151 SQ.FT,₹ 94.96 L
423416,Sree Urban Orchids Phase II,"3 BHK Apartment
75.9 L - 98.01 L",1178 SQ.FT,₹ 97.19 L
423416,Sree Urban Orchids Phase II,"3 BHK Apartment
75.9 L - 98.01 L",1188 SQ.FT,₹ 98.01 L
423416,Sree Urban Orchids Phase II,"4 BHK Apartment
1.16 Cr - 1.18 Cr",1402 SQ.FT,₹ 1.16 Cr
423416,Sree Urban Orchids Phase II,"4 BHK Apartment
1.16 Cr - 1.18 Cr",1435.26 SQ.FT,₹ 1.18 Cr
424046,Vishan s Castle,"2 BHK Apartment
57.85 L - 60.85 L",1156.91 SQ.FT,₹ 57.85 L
424046,Vishan s Castle,"2 BHK Apartment
57.85 L - 60.85 L",1178 SQ.FT,₹ 58.9 L
424046,Vishan s Castle,"2 BHK Apartment
57.85 L - 60.85 L",1199 SQ.FT,₹ 59.95 L
424046,Vishan s Castle,"2 BHK Apartment
57.85 L - 60.85 L",1200 SQ.FT,₹ 60.0 L
424046,Vishan s Castle,"2 BHK Apartment
57.85 L - 60.85 L",1202.97 SQ.FT,₹ 60.15 L
424046,Vishan s Castle,"2 BHK Apartment
57.85 L - 60.85 L",1205 SQ.FT,₹ 60.25 L
424046,Vishan s Castle,"2 BHK Apartment
57.85 L - 60.85 L",1214 SQ.FT,₹ 60.7 L
424046,Vishan s Castle,"2 BHK Apartment
57.85 L - 60.85 L",1217 SQ.FT,₹ 60.85 L
424046,Vishan s Castle,"3 BHK Apartment
82.85 L - 86.09 L",1657 SQ.FT,₹ 82.85 L
424046,Vishan s Castle,"3 BHK Apartment
82.85 L - 86.09 L",1659 SQ.FT,₹ 82.95 L
424046,Vishan s Castle,"3 BHK Apartment
82.85 L - 86.09 L",1721.9 SQ.FT,₹ 86.1 L
433162,Neelkamal Gokul,2 BHK Apartment,754.33 SQ.FT,Price on Request
433162,Neelkamal Gokul,3 BHK Apartment,1077.14 SQ.FT,Price on Request
435139,The Reserve,"3 BHK Apartment
2.1 Cr - 2.41 Cr",1243 SQ.FT,"₹ 2.1 Cr
i"
435139,The Reserve,"3 BHK Apartment
2.1 Cr - 2.41 Cr",1413 SQ.FT,"₹ 2.4 Cr
i"
435139,The Reserve,"3 BHK Apartment
2.1 Cr - 2.41 Cr",1417 SQ.FT,"₹ 2.41 Cr
i"
435139,The Reserve,"4 BHK Apartment
4.2 Cr - 5 Cr",2482 SQ.FT,"₹ 4.2 Cr
i"
435139,The Reserve,"4 BHK Apartment
4.2 Cr - 5 Cr",2698 SQ.FT,"₹ 4.75 Cr
i"
435139,The Reserve,"4 BHK Apartment
4.2 Cr - 5 Cr",2696 SQ.FT,"₹ 5.0 Cr
i"
7754,Pyramid Arlington County,"Plot
7.75 L - 40.1 L",456 SQ.FT,₹ 7.75 L
7754,Pyramid Arlington County,"Plot
7.75 L - 40.1 L",2360 SQ.FT,₹ 40.1 L
7754_phase_1,Pyramid Arlington County Phase IV,"Plot
7.75 L - 40.1 L",456 SQ.FT,₹ 7.75 L
7754_phase_1,Pyramid Arlington County Phase IV,"Plot
7.75 L - 40.1 L",2360 SQ.FT,₹ 40.1 L
29040,Kutumb Project 3,3 BHK Apartment,1235 SQ.FT,Price on Request
29040_child_1,Kutumb Bhoomi,"Plot
55 L - 1.1 Cr",1000 SQ.FT,₹ 55.0 L
29040_child_1,Kutumb Bhoomi,"Plot
55 L - 1.1 Cr",2000 SQ.FT,₹ 1.1 Cr
29040_phase_2,Naiknavare Eagles Nest Project 2,3 BHK Duplex,1634 SQ.FT,Price on Request
29040_phase_2,Naiknavare Eagles Nest Project 2,5 BHK Duplex,2036 SQ.FT,Price on Request
29040_phase_3,Naiknavare Eagles Nest Project 1,3 BHK Villa,1560 SQ.FT,Price on Request
29040_phase_3,Naiknavare Eagles Nest Project 1,4 BHK Villa,2114 SQ.FT,Price on Request
29040_phase_4,Naiknavare Eagles Nest Project 5,Plot,1404.26 SQ.FT,Price on Request
29040_phase_4,Naiknavare Eagles Nest Project 5,Plot,1474.44 SQ.FT,₹ 7.37 Cr
29040_phase_4,Naiknavare Eagles Nest Project 5,Plot,1507.27 SQ.FT,Price on Request
29040_phase_4,Naiknavare Eagles Nest Project 5,Plot,1509.64 SQ.FT,Price on Request
29040_phase_4,Naiknavare Eagles Nest Project 5,Plot,1518.25 SQ.FT,Price on Request
29040_phase_4,Naiknavare Eagles Nest Project 5,Plot,1559.69 SQ.FT,Price on Request
29040_phase_4,Naiknavare Eagles Nest Project 5,Plot,1576.05 SQ.FT,Price on Request
29040_phase_4,Naiknavare Eagles Nest Project 5,Plot,1586.17 SQ.FT,Price on Request
29040_phase_4,Naiknavare Eagles Nest Project 5,Plot,1591.34 SQ.FT,Price on Request
29040_phase_4,Naiknavare Eagles Nest Project 5,Plot,1603.28 SQ.FT,Price on Request
29040_phase_4,Naiknavare Eagles Nest Project 5,Plot,1621.37 SQ.FT,Price on Request
29040_phase_4,Naiknavare Eagles Nest Project 5,Plot,1643.33 SQ.FT,Price on Request
29040_phase_4,Naiknavare Eagles Nest Project 5,Plot,1866.78 SQ.FT,Price on Request
29040_phase_4,Naiknavare Eagles Nest Project 5,Plot,1924.8 SQ.FT,Price on Request
29040_phase_4,Naiknavare Eagles Nest Project 5,Plot,2062.15 SQ.FT,Price on Request
29040_phase_4,Naiknavare Eagles Nest Project 5,Plot,2063.44 SQ.FT,Price on Request
29040_phase_4,Naiknavare Eagles Nest Project 5,Plot,2116.08 SQ.FT,Price on Request
29040_phase_4,Naiknavare Eagles Nest Project 5,Plot,2249.55 SQ.FT,Price on Request
29040_phase_4,Naiknavare Eagles Nest Project 5,Plot,2365.26 SQ.FT,Price on Request
29040_phase_4,Naiknavare Eagles Nest Project 5,Plot,2769.88 SQ.FT,Price on Request
29040_phase_5,Naiknavare Kutumb Project 4,"2 BHK Apartment
50.86 L - 57.38 L",756.7 SQ.FT,₹ 50.86 L
29040_phase_5,Naiknavare Kutumb Project 4,"2 BHK Apartment
50.86 L - 57.38 L",764.24 SQ.FT,₹ 51.36 L
29040_phase_5,Naiknavare Kutumb Project 4,"2 BHK Apartment
50.86 L - 57.38 L",853.79 SQ.FT,₹ 57.38 L
367669,CANVAS & COVE,"Studio Apartment
2.76 Cr",2333 SQ.FT,"₹ 2.76 Cr
i"
367669,CANVAS & COVE,"3 BHK Apartment
1.75 Cr - 2.28 Cr",1505 SQ.FT,"₹ 1.75 Cr
i"
367669,CANVAS & COVE,"3 BHK Apartment
1.75 Cr - 2.28 Cr",1561 SQ.FT,"₹ 1.79 Cr
i"
367669,CANVAS & COVE,"3 BHK Apartment
1.75 Cr - 2.28 Cr",1820 SQ.FT,"₹ 2.2 Cr
i"
367669,CANVAS & COVE,"3 BHK Apartment
1.75 Cr - 2.28 Cr",1892 SQ.FT,"₹ 2.28 Cr
i"
369336,Omsree Brilliance,"3 BHK Apartment
1.5 Cr - 1.55 Cr",2130 SQ.FT,₹ 1.5 Cr
369336,Omsree Brilliance,"3 BHK Apartment
1.5 Cr - 1.55 Cr",2140 SQ.FT,₹ 1.51 Cr
369336,Omsree Brilliance,"3 BHK Apartment
1.5 Cr - 1.55 Cr",2195 SQ.FT,₹ 1.55 Cr
369336,Omsree Brilliance,"3 BHK Apartment
1.5 Cr - 1.55 Cr",2200 SQ.FT,₹ 1.55 Cr
