xid,rera_no,state,proj_name,prom_name,project_type,project_sub_type,project_comp_date,proj_status,total_area,num_of_towers,project_address,project_desc
PRM/KA/RERA/1251/446/PR/280222/004738,PRM/KA/RERA/1251/446/PR/280222/004738,Karnatka,FOLIUM BY SUMADHURA PHASE-I,SUMADHURA INFRACON PRIVATE LIMITED,Residential/Group Housing,Apartment,30-06-2025,New Project Launch,19862,2,,
PRM/KA/RERA/1251/446/PR/290224/006660,PRM/KA/RERA/1251/446/PR/290224/006660,Karnatka,PRESTIGE SOMERVILLE,PRESTIGE ESTATES PROJECTS LTD,,Apartment,31-12-2027,New Project Launch,26658,2,"PROPOSED RESIDENTIAL APARTMENT ON KATHA NO. NO.1012/649, SY NO.39/2, 39/3, 39/4, 40/1, 40/2, 48/6A, 48/6B, 48/7, 48/8, 48/9, 48/10, 48/11, 48/12, , 48/13, 48/14, 48/15, 39/1, 40/5, 40/6, 38/1, 38/2, 38/3, 38/4, 38/5, 40/3, 41/2, 41/3, 41/4, 41/5, 41/6, 41/8, WARD NO. 84, RAMAGONDANAHALLI VILLAGE, VARTHUR HOBLI, BANGALORE EAST TALUK BANGALORE , Bengaluru East , Bengaluru Urban, Karnataka - 560066",
PRM/KA/RERA/1251/446/PR/110522/004876,PRM/KA/RERA/1251/446/PR/110522/004876,Karnatka,DSR HIGHLAND GREENZ,DSR INFRA PROJECTS,Residential/Group Housing,Apartment,30-03-2026,New Project Launch,40873,4,,
PRM/KA/RERA/1251/446/PR/280222/004738,PRM/KA/RERA/1251/446/PR/280222/004738,Karnatka,FOLIUM BY SUMADHURA PHASE-I,SUMADHURA INFRACON PRIVATE LIMITED,Residential/Group Housing,Apartment,30-06-2025,New Project Launch,19862,2,,
PRM/KA/RERA/1251/446/PR/290224/006660,PRM/KA/RERA/1251/446/PR/290224/006660,Karnatka,PRESTIGE SOMERVILLE,PRESTIGE ESTATES PROJECTS LTD,Residential/Group Housing,Apartment,31-12-2027,New Project Launch,26658,2,"PROPOSED RESIDENTIAL APARTMENT ON KATHA NO. NO.1012/649, SY NO.39/2, 39/3, 39/4, 40/1, 40/2, 48/6A, 48/6B, 48/7, 48/8, 48/9, 48/10, 48/11, 48/12, , 48/13, 48/14, 48/15, 39/1, 40/5, 40/6, 38/1, 38/2, 38/3, 38/4, 38/5, 40/3, 41/2, 41/3, 41/4, 41/5, 41/6, 41/8, WARD NO. 84, RAMAGONDANAHALLI VILLAGE, VARTHUR HOBLI, BANGALORE EAST TALUK BANGALORE , Bengaluru East , Bengaluru Urban, Karnataka - 560066",
PRM/KA/RERA/1251/309/PR/160623/005997,PRM/KA/RERA/1251/309/PR/160623/005997,Karnatka,VIJAYA AQUAGREEN,DIGVIJAYA SHELTERS LLP,Residential/Group Housing,Apartment,31-12-2025,Ongoing,8801,1,"75/1, Somashettihali , Yeshwawantapura Hobli , Bengaluru North , Bengaluru Urban, Karnataka - 560090",
PRM/KA/RERA/1251/310/PR/210422/004845,PRM/KA/RERA/1251/310/PR/210422/004845,Karnatka,CASAGRAND AQUENE,CASA GRANDE GARDEN CITY BUILDERS PVT LTD,Residential/Group Housing,Apartment,10/6/2025,New Project Launch,15276,2,,
PRM/KA/RERA/1250/304/PR/131224/007287,PRM/KA/RERA/1250/304/PR/131224/007287,Karnatka,BRIGADE CITRINE,BRIGADE ENTERPRISES LTD,Residential/Group Housing,Apartment,30-06-2029,New Project Launch,18464,2,"Survey Nos. 23/2, 23/10 (earlier forming part of Sy No. 23/4), 23/6A and 23/6B , Nimbekayipura Village, Bidarahalli Hobli, Bangalore East Taluk , Hosakote , Bengaluru Rural, Karnataka - 560049",
PRM/KA/RERA/1251/308/PR/201201/003733,PRM/KA/RERA/1251/308/PR/201201/003733,Karnatka,DS MAX SAHARA,DS MAX PROPERTIES PRIVATE LIMITED,Residential/Group Housing,,31-12-2024,New Project Launch,16490,,"Sy. No. 72, New Sy No. 183, at Chikkanagamangala Village, Sarjapura Hobli, Anekal Taluk Bangalore",
PRM/KA/RERA/1250/304/PR/210324/006726,PRM/KA/RERA/1250/304/PR/210324/006726,Karnatka,PROVIDENT BOTANICO,PROVIDENT HOUSING LIMITED,Residential/Group Housing,Apartment,30-09-2028,New Project Launch,69302,9,"257 5 ,257 6 ,257 7 ,257 8 ,257 9 ,257 10 , 257 13 ,257 14 ,257 15, 257 16 ,257 18 ,257 19 ,257 20 ,257 21 ,257 22 ,257 23 , 257 25 , 270,273,274,275,278 SAMETHANAHALLI VILLAGE, ANUGONDANAHALLI HOBLI, HOSKOTE TALUK, BANGALORE , Hosakote , Bengaluru Rural, Karnataka - 562114",
PRM/KA/RERA/1251/308/PR/190523/002566,PRM/KA/RERA/1251/308/PR/190523/002566,Karnatka,GODREJ 24,"MANYATA INDUSTRIAL PARKS LLP.,",Residential/Group Housing,,1/6/2025,New Project Launch,24331,,"Sy.No. 118 and 139 of Chembenahalli Village,, Sarjapura Hobli, Anekal Taluk",
PRM/KA/RERA/1251/472/PR/280324/006742,PRM/KA/RERA/1251/472/PR/280324/006742,Karnatka,AXIS OAKLYN,AXIS CONCEPT CONSTRUCTION PVT LTD,Residential/Group Housing,Apartment,31-03-2027,New Project Launch,4350,1,,
