XID,Project Name,Unit Type,Area,Price,Area Type
88315,Ruparel Vivanza,1 BHK 424 Sq. Ft. Apartment,424 Sq. Ft.,Rs 1.59 Cr,(Carpet)
88315,Ruparel Vivanza,1 BHK 430 Sq. Ft. Apartment,430 Sq. Ft.,Rs 1.61 Cr,(Carpet)
88315,Ruparel Vivanza,2 BHK 635 Sq. Ft. Apartment,635 Sq. Ft.,Rs 2.39 Cr,(Carpet)
88315,Ruparel Vivanza,2 BHK 642 Sq. Ft. Apartment,642 Sq. Ft.,Rs 2.42 Cr,(Carpet)
88315,Ruparel Vivanza,3 BHK 1059 Sq. Ft. Apartment,1059 Sq. Ft.,Rs 3.99 Cr,(Carpet)
8044,Vijay Khetan Krishna Residences,2 BHK 795 Sq. Ft. Apartment,795 Sq. Ft.,Rs 2.32 Cr,(Carpet)
8044,Vijay Khetan Krishna Residences,2 BHK 801 Sq. Ft. Apartment,801 Sq. Ft.,Rs 2.34 Cr,(Carpet)
8044,Vijay Khetan Krishna Residences,2 BHK 818 Sq. Ft. Apartment,818 Sq. Ft.,Rs 2.39 Cr,(Carpet)
8044,Vijay Khetan Krishna Residences,2 BHK 816 Sq. Ft. Apartment,816 Sq. Ft.,Rs 2.38 Cr,(Carpet)
8044,Vijay Khetan Krishna Residences,3 BHK 915 Sq. Ft. Apartment,915 Sq. Ft.,Rs 2.65 Cr,(Carpet)
8044,Vijay Khetan Krishna Residences,3 BHK 1074 Sq. Ft. Apartment,1074 Sq. Ft.,Rs 3.11 Cr,(Carpet)
8044,Vijay Khetan Krishna Residences,3 BHK 1086 Sq. Ft. Apartment,1086 Sq. Ft.,Rs 3.15 Cr,(Carpet)
8044,Vijay Khetan Krishna Residences,3 BHK 1076 Sq. Ft. Apartment,1076 Sq. Ft.,Rs 3.12 Cr,(Carpet)
97522,Delta Palmbeach,1 BHK 656 Sq. Ft. Apartment,656 Sq. Ft.,Rs 2.02 Cr,(Carpet)
97522,Delta Palmbeach,1 BHK 690 Sq. Ft. Apartment,690 Sq. Ft.,Rs 2.12 Cr,(Carpet)
97522,Delta Palmbeach,2 BHK 763 Sq. Ft. Apartment,763 Sq. Ft.,Rs 2.34 Cr,(Carpet)
97522,Delta Palmbeach,2 BHK 771 Sq. Ft. Apartment,771 Sq. Ft.,Rs 2.37 Cr,(Carpet)
97522,Delta Palmbeach,3 BHK 981 Sq. Ft. Apartment,981 Sq. Ft.,Rs 3.01 Cr,(Carpet)
97522,Delta Palmbeach,3 BHK 1510 Sq. Ft. Apartment,1510 Sq. Ft.,Rs 4.64 Cr,(Carpet)
97522,Delta Palmbeach,4 BHK 1631 Sq. Ft. Apartment,1631 Sq. Ft.,Rs 5.01 Cr,(Carpet)
97522,Delta Palmbeach,4 BHK 2142 Sq. Ft. Apartment,2142 Sq. Ft.,Rs 6.58 Cr,(Carpet)
70262,Puranik Aarambh,1 BHK 361 Sq. Ft. Apartment,361 Sq. Ft.,Rs 45.99 L,(Carpet)
70262,Puranik Aarambh,2 BHK 499 Sq. Ft. Apartment,499 Sq. Ft.,Rs 63.57 L,(Carpet)
70262,Puranik Aarambh,2 BHK 495 Sq. Ft. Apartment,495 Sq. Ft.,Rs 63.06 L,(Carpet)
59796,Chandak 34 Park Estate,1 BHK 391 Sq. Ft. Apartment,391 Sq. Ft.,Rs 1.06 Cr,(Carpet)
59796,Chandak 34 Park Estate,2 BHK 494 Sq. Ft. Apartment,494 Sq. Ft.,Rs 1.34 Cr,(Carpet)
59796,Chandak 34 Park Estate,2 BHK 617 Sq. Ft. Apartment,617 Sq. Ft.,Rs 1.68 Cr,(Carpet)
59796,Chandak 34 Park Estate,3 BHK 820 Sq. Ft. Apartment,820 Sq. Ft.,Rs 2.23 Cr,(Carpet)
440012,Pride Dreams Paradise,1 BHK 259 Sq. Ft. Apartment,259 Sq. Ft.,Price on Request,(Carpet)
440012,Pride Dreams Paradise,1 BHK 482 Sq. Ft. Apartment,482 Sq. Ft.,Price on Request,(Carpet)
440012,Pride Dreams Paradise,2 BHK 571 Sq. Ft. Apartment,571 Sq. Ft.,Price on Request,(Carpet)
440012,Pride Dreams Paradise,2 BHK 689 Sq. Ft. Apartment,689 Sq. Ft.,Price on Request,(Carpet)
440605,Roswalt Raya,1 BHK 485 Sq. Ft. Apartment,485 Sq. Ft.,Rs 1.60 Cr,(Carpet)
440605,Roswalt Raya,2 BHK 727 Sq. Ft. Apartment,727 Sq. Ft.,Rs 2.30 Cr,(Carpet)
440618,Godrej Bayview Vashi,2 BHK 750 Sq. Ft. Apartment,750 Sq. Ft.,Rs 2.47 Cr,(Carpet)
440618,Godrej Bayview Vashi,2 BHK 800 Sq. Ft. Apartment,800 Sq. Ft.,Rs 2.64 Cr,(Carpet)
440618,Godrej Bayview Vashi,3 BHK 985 Sq. Ft. Apartment,985 Sq. Ft.,Rs 3.25 Cr,(Carpet)
440618,Godrej Bayview Vashi,3 BHK 990 Sq. Ft. Apartment,990 Sq. Ft.,Rs 3.27 Cr,(Carpet)
440647,Giriraj Sapphire,1 BHK 341 Sq. Ft. Apartment,341 Sq. Ft.,Rs 62.66 Lac,(Carpet)
440647,Giriraj Sapphire,1 BHK 347 Sq. Ft. Apartment,347 Sq. Ft.,Rs 63.77 Lac,(Carpet)
440647,Giriraj Sapphire,2 BHK 526 Sq. Ft. Apartment,526 Sq. Ft.,Rs 96.66 Lac,(Carpet)
440647,Giriraj Sapphire,2 BHK 579 Sq. Ft. Apartment,579 Sq. Ft.,Rs 1.06 Cr,(Carpet)
441521,Purva Panorama,2 BHK 716 Sq. Ft. Apartment,716 Sq. Ft.,Rs 1.69 Cr,(Carpet)
441521,Purva Panorama,2 BHK 828 Sq. Ft. Apartment,828 Sq. Ft.,Rs 1.89 Cr,(Carpet)
441521,Purva Panorama,2 BHK 778 Sq. Ft. Apartment,778 Sq. Ft.,Rs 1.85 Cr,(Carpet)
441521,Purva Panorama,3 BHK 1012 Sq. Ft. Apartment,1012 Sq. Ft.,Rs 2.54 Cr,(Carpet)
441521,Purva Panorama,3 BHK 1060 Sq. Ft. Apartment,1060 Sq. Ft.,Rs 2.64 Cr,(Carpet)
440650,Satyam Surya Manhattan,2 BHK 684 Sq. Ft. Apartment,684 Sq. Ft.,Price on Request,(Carpet)
